,activeflag,businesstype,curvetype,documentid,documentrevnum,documenttype,powersystemresourcetype,processtype,quantity,resolution,settlementdate,settlementperiod,timeseriesid
136,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Nuclear,Realised,7175.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614262
137,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614263
138,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Fossil Gas,Realised,9459.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614264
139,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614265
140,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,296.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614266
141,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Hydro Pumped Storage,Realised,11.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614267
142,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121231,1,Actual generation per type,Biomass,Realised,1222.0,PT30M,2018-04-25,13,NGET-EMFIP-AGPT-TS-00614268
143,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Solar,Realised,504.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614269
144,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Wind Offshore,Realised,1992.733,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614270
145,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Wind Onshore,Realised,3255.55,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614271
146,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Other,Realised,122.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614272
147,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Nuclear,Realised,7179.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614273
148,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614274
149,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Fossil Gas,Realised,11218.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614275
150,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614276
151,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,323.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614277
152,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Hydro Pumped Storage,Realised,150.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614278
153,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121232,1,Actual generation per type,Biomass,Realised,1424.0,PT30M,2018-04-25,14,NGET-EMFIP-AGPT-TS-00614279
154,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Solar,Realised,1080.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614291
155,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Wind Offshore,Realised,2406.601,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614292
156,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Wind Onshore,Realised,3295.676,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614293
157,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Other,Realised,122.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614294
158,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Nuclear,Realised,7183.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614295
159,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614296
160,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Fossil Gas,Realised,13404.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614297
161,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614298
162,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,497.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614299
163,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Hydro Pumped Storage,Realised,457.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614300
164,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121233,1,Actual generation per type,Biomass,Realised,1646.0,PT30M,2018-04-25,15,NGET-EMFIP-AGPT-TS-00614301
165,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Solar,Realised,1720.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614302
166,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Wind Offshore,Realised,95.719,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614303
167,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Wind Onshore,Realised,1497.783,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614304
168,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Other,Realised,124.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614305
169,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Nuclear,Realised,7192.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614306
170,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614307
171,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Fossil Gas,Realised,14981.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614308
172,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614309
173,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,539.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614310
174,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Hydro Pumped Storage,Realised,326.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614311
175,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121234,1,Actual generation per type,Biomass,Realised,1841.0,PT30M,2018-04-25,16,NGET-EMFIP-AGPT-TS-00614312
